ALGORITHM,THREADS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DD_P,8,33800,32085,33908,32642,37547,33938,33582,33675,33760,33598,32584,34418,32797,33688,32637,34152,32259,34394,34409,35905,40608,40968,32702,33631,33628,34184,33968,32684,42676,33531
DD_P,9,31469,32865,31242,31934,31239,31420,31098,31060,36453,31640,33939,30369,32171,31232,31896,31986,37368,32894,31640,35577,32947,33870,30779,32212,35601,30690,30290,33297,31132,31783
DD_P,10,29659,29818,34094,29257,35524,29342,34438,30013,32665,33513,35865,29287,32141,29624,29273,29446,28991,35039,31479,29076,33924,28997,30481,30058,29537,29654,29128,29581,29436,29942
DD_P,11,28084,33222,27985,28263,28087,28449,31505,28762,27861,28069,27562,34164,28061,28434,27045,28086,34996,28093,28240,28815,28272,27692,31129,28220,32805,28063,28404,29099,28693,27218
DD_P,12,27405,26769,26958,31818,27400,27557,27022,31624,26882,26691,27555,26861,29006,31315,27443,27521,28268,27899,27654,27157,30196,31227,27259,26248,27454,27409,30242,30599,27305,26861
DD_P,13,30051,24973,26652,25490,27590,25834,25822,25533,26206,29226,25483,26844,28955,29734,25910,27422,29679,26344,26323,28801,25012,30497,26654,25205,25988,25231,24706,25821,28057,26687
DD_P,14,27498,25907,25268,25771,29923,26421,28218,27098,25595,25192,24957,24410,27175,25006,29165,26300,25674,24492,25435,25405,25168,27126,26322,24983,24865,27332,25380,24895,26383,29491
DD_P,15,27203,24157,29196,23602,24518,23328,24083,26111,24931,24750,23197,24487,23710,25909,24276,24924,26277,25181,24620,26811,29705,24888,25770,24451,25879,24073,25503,24600,23631,25192
DD_P,16,25773,23788,26756,23905,23186,23060,24933,23362,23944,23788,23728,25034,23122,24284,23306,23625,23472,23768,24087,23463,23109,23211,25064,24149,23131,23196,23351,23807,23131,25605
DD_P,17,22502,25920,23691,23023,23460,23029,22380,22512,22931,21812,23924,22923,22250,24247,24853,21695,24883,21868,22908,27679,24963,23684,24454,22658,21703,22664,26939,23173,22732,21460
DD_P,18,26628,25212,21649,23009,21728,22389,24770,22506,22427,23814,22969,22856,21807,22112,21081,22065,21909,26069,27078,21258,21694,22853,21947,22049,21951,22344,25535,22737,23055,23256
DD_P,19,22366,21027,21586,20894,22670,22311,23742,24603,22692,22047,23273,21779,21723,21464,21868,22267,21446,21696,21421,22912,22930,22492,22817,22416,25002,24286,21705,24104,22645,23229
DD_P,20,23300,22105,22331,21442,21725,21135,22063,22684,20717,21950,24308,21340,21540,22981,21734,20653,21532,22388,21646,21821,22888,22295,20772,24943,20761,21164,22307,20673,22490,23813
DD_P,21,22374,25054,23584,26030,21475,23016,21711,20084,22258,23467,22060,22707,21400,20833,21133,21787,24685,22167,22148,21363,20571,19934,22096,20890,20863,19915,22267,21614,21545,22511
DD_P,22,20011,22466,20781,21758,20606,19473,20955,22124,21881,20820,20204,22224,22198,20385,20769,22348,20241,21265,24066,21465,23225,19288,22669,21877,20745,21226,24286,21539,19766,21372
DD_P,23,20140,19809,21116,19971,20070,21657,19792,21019,22216,21545,19956,20497,20967,20703,21605,20318,21595,21310,22069,20161,21142,20643,20639,21598,19510,21798,20692,19607,21897,22522
DD_P,24,22927,21235,19967,21874,19550,22227,20227,21960,21853,19820,20872,20108,20646,20478,22177,21529,18523,20876,18974,19908,19647,21767,19358,20851,22091,19582,20371,20611,21497,22020
DD_P,25,19290,21489,21869,18965,19904,20669,20870,21339,19713,20718,19789,20587,20146,21433,20334,21446,20926,20834,22507,20417,19830,19487,20614,19651,21012,21687,20932,19973,20275,20851
DD_P,26,21564,21990,21391,20452,22090,20958,20230,21951,21175,19868,21274,20464,20891,21114,22325,21726,22433,21027,22121,19892,18535,21546,21035,20022,19424,21805,21328,20382,20344,21730
DD_P,27,20224,19581,19848,21013,19166,21309,20097,21428,20201,19101,20879,20184,20580,19639,21942,19657,19670,19391,21610,18799,21359,19479,21050,21274,20880,21153,19957,19563,20143,20879
DD_P,28,21044,22071,20432,20167,22176,20810,21135,19926,21893,19440,19959,19381,20416,23500,20628,21661,21076,20468,21026,21089,22268,21495,22474,23067,20978,22168,18908,19887,20411,19592
DD_P,29,20351,20802,19050,22050,21201,21514,19624,20908,21230,20496,21655,21198,19352,20361,21076,19814,20516,20996,20264,20123,20494,20919,20223,21038,20073,20819,21805,18841,19236,21235
DD_P,30,20046,20639,19075,20897,22154,21150,19269,21001,19372,21201,18978,21827,21312,20895,21923,21019,19714,20776,21009,20595,19733,20101,20574,20787,19424,19821,19229,20395,20924,20444
DD_P,31,20198,19708,18050,23243,19562,20824,20353,19258,19705,20007,20482,20746,22988,20737,20703,19201,20444,20303,20975,19489,20340,21603,19874,18945,18943,18624,18581,20751,21059,20720
DD_P,32,19130,19438,18502,19795,18499,21075,20743,19187,19981,19885,19753,18625,19454,18952,19725,18324,19368,18550,19687,18509,21432,20837,20240,19597,18905,20688,19897,22267,19847,20188
DD_P,33,18501,19020,18680,19468,19130,19183,20805,18515,19668,20328,19050,19269,18912,18864,17837,22697,19626,20876,19700,19849,20735,19732,17722,18519,18937,18134,20801,18905,18527,20373
DD_P,34,18498,20743,18270,17987,18290,18112,19694,18796,19473,18487,18941,18966,20653,17884,19016,18250,19687,18385,17810,20317,20435,19900,19822,18796,18046,19463,18586,19038,20638,18836
DD_P,35,17744,18102,19432,17610,20039,20508,19511,18062,19102,21223,19419,20625,20173,17659,19273,17632,19701,18466,17960,18928,20119,21446,19978,19647,19017,20666,18246,17932,18223,18366
DD_P,36,18863,17772,19575,19195,18184,18154,19408,18766,18445,19414,18425,19315,17987,19359,17873,18076,17342,18691,19149,18859,19192,17702,18519,18307,19029,17481,19669,19708,18813,19008
DD_P,37,19432,17945,17843,17421,19190,19565,17879,19263,18078,18015,17569,18192,18199,18149,17719,21547,19224,17627,17741,18856,17677,18799,20140,19055,18830,19437,18468,17894,18633,18084
DD_P,38,18549,17714,18337,17933,18977,17987,17129,18836,17643,18812,19495,19408,18449,17732,17606,18818,18603,19497,19237,19575,19227,17191,17983,19528,21231,18665,17173,17916,19345,18506
DD_P,39,19391,19347,18078,18389,17610,17231,17125,17099,18838,18289,16856,18821,19942,17792,17695,17491,19384,18889,19365,18402,16956,17232,18605,18863,18717,17126,19085,17880,19112,17871
DD_P,40,18669,17578,18135,18494,20377,17150,17029,17157,18361,18026,17266,19538,17978,17749,19587,19586,20155,17185,18077,17731,17354,18003,16899,18467,19254,17737,17905,18022,17068,18070
DD_P,41,16805,18160,16682,18613,17866,16600,18380,17563,18290,16501,19110,17439,17804,19056,17341,17496,17525,16861,17768,17720,16759,17811,17664,18918,16901,18665,17986,16957,17409,17428
DD_P,42,16557,16788,18399,16458,17931,17076,18050,18824,18166,17960,17671,19110,17613,16942,17145,18081,18455,17554,18602,17473,18260,18745,17480,17897,17843,19963,17335,18599,18530,17622
DD_P,43,16951,17663,17207,18443,16875,17484,16673,17371,16603,17138,17296,17443,18411,17917,16835,18765,17269,17230,17646,17506,17715,17615,17250,16800,17867,18029,16481,17937,17840,17104
DD_P,44,17234,17056,17123,17802,18839,17406,15994,17093,17017,16591,17766,17609,17307,19405,17313,17942,16657,17518,17015,17446,17451,16850,16795,16927,17337,18051,18126,16426,17642,16777
DD_P,45,17664,17105,17332,17936,16587,18768,17312,18150,16552,17678,17056,17300,16161,17158,16852,17795,16568,17122,16561,16322,17156,18611,16859,16505,16935,17334,17461,17296,16490,16505
DD_P,46,16859,18746,18188,16400,16500,18637,17928,17304,17154,17651,16766,15977,17500,16619,16669,16800,17982,16545,16178,16839,16709,17377,17141,17570,16091,16895,17114,18357,17445,17837
DD_P,47,16830,16929,17683,17105,16923,18918,16567,16203,16588,17664,16151,17092,16700,16663,16927,16597,15770,16682,16840,16567,16572,16858,16867,17389,16682,16790,16697,16979,16634,17365
DD_P,48,15888,16684,15963,16025,16588,15918,16360,15702,16693,15816,16305,18041,16810,16335,16603,16620,16927,16131,15704,16246,17209,16537,16482,17032,17283,16321,16995,16574,17247,16518
