DATASET,ALGORITHM,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
WIEPRZ_FF,TDS_S,331434,326314,325530,326148,326516,326429,326099,327077,325881,326884,325890,326009,326063,326169,326145,326474,326032,326336,326319,326518,326653,326332,326618,325573,326561,326469,326411,326244,326176,326389
WIEPRZ_FF,TDS_P,27208,27966,27835,27526,27466,27535,28202,27560,28226,28211,27575,27574,27492,27645,27636,27860,27893,27670,27635,27747,28312,28129,27584,27501,27596,27701,28258,27643,27683,27789
WIEPRZ_FF,DD_S,183937,182112,181605,181956,182140,182002,181887,181577,182065,181949,181987,181805,181862,181613,182223,181985,182137,181792,181809,182171,182120,182042,181901,182010,182048,181817,182092,181852,182013,182138
WIEPRZ_FF,DD_P,20977,21087,21587,20319,20342,21706,21237,22905,22235,21186,22681,22643,20865,22952,20508,21930,23168,22237,20664,22509,20621,20647,21117,22123,23945,21239,20249,23335,21139,21399
KAMIENNA_B,R_S,27657,29056,27632,27677,27628,27683,27650,27672,27678,29056,27600,27657,27557,27690,27731,27666,27650,27682,27661,29048,27677,29041,27609,27700,27717,27691,27698,27597,28562,27566
KAMIENNA_B,R_T100,27719,29111,27726,27661,29168,27749,29030,27730,29158,27716,27748,29112,29177,27713,27727,27695,27746,27739,27827,27709,27721,27799,29218,27703,29154,27745,29149,27706,27763,29122
KAMIENNA_B,R_T200,27732,27752,27980,27893,27798,27754,29392,27720,27887,29187,29202,29186,27784,29166,27728,29121,27678,29199,27844,29168,27919,29098,27820,27704,29264,29219,27741,29094,27954,29324
KAMIENNA_B,R_T400,29132,28153,29157,29205,29274,29173,27825,29344,29175,29157,29314,29152,29182,27687,27781,27764,27832,27794,27776,29178,29130,29157,29160,27706,29161,29368,29383,29143,27758,27782
KAMIENNA_B,R_T800,27798,29157,29257,29381,29237,27836,29394,29188,29198,27781,29178,29212,29210,29112,29190,29317,29195,27730,29250,29145,29117,29340,29276,29208,29319,27861,29158,29154,29111,29228
KAMIENNA_B,R_T1600,29250,27792,29235,27839,28025,29243,29242,27817,29141,27999,29318,29233,29252,27788,29413,28008,29333,29422,29210,29274,29489,29257,29203,29290,27734,27781,29218,29224,29494,27912
KAMIENNA_B,TDM_S,68203,68159,68283,68092,68266,68053,68036,68216,68174,68257,68206,68241,68149,68066,68171,68193,68151,68233,68235,68010,68177,68105,68235,68074,68167,68166,69245,68203,68109,68047
KAMIENNA_B,TDS_S,68567,68531,68421,68546,68802,68575,68787,68661,68475,68577,68717,68500,68629,68855,68482,68733,68469,68650,68626,68613,68814,68732,69384,68747,68580,68603,68725,68585,68858,68528
KAMIENNA_B,TDS_P,5933,5901,5908,5897,5913,5922,5894,5901,5902,5922,5944,5916,5973,5991,5921,5909,5920,5939,5915,5920,5940,5917,5947,5897,5897,5921,5937,5909,5941,5923
KAMIENNA_B,DD_S,44229,44298,44297,44291,44310,44194,44231,44244,44224,44192,44318,44216,44288,44238,44249,44364,44309,44364,44246,44370,44328,44220,44263,44200,44325,44214,44334,44351,44230,44227
KAMIENNA_B,DD_P,5091,5014,5300,4790,5231,4881,4973,5052,4829,4989,4912,5165,4829,4877,4950,5112,5073,5045,5127,4922,5245,4830,4998,4971,5075,4893,5061,5277,5057,5105
TANEW_B,R_S,30400,31560,30507,30420,30463,30440,30484,30403,30495,30543,31534,31537,30395,30409,30461,31521,31533,30419,31518,30432,30502,30452,30428,30383,30421,30412,30455,31492,31511,30312
TANEW_B,R_T100,30536,30481,30538,30480,31545,30497,30536,30595,31634,30466,30537,31593,30546,31545,30549,31699,30528,30495,30541,31629,31665,30556,31561,30529,31516,31560,31600,31532,30378,31491
TANEW_B,R_T200,31488,31606,30565,31650,30470,31569,31660,31613,31494,30470,31603,30546,30458,30415,31613,30499,31687,30506,30443,30534,30445,30510,30343,31628,30537,30511,31661,31683,31642,30446
TANEW_B,R_T400,30604,30436,31641,30627,30635,31740,31680,30565,31650,31713,31550,30542,30628,30600,31733,31621,31621,31647,31886,30514,30957,31603,30534,30727,31722,30647,31586,31628,31702,30482
TANEW_B,R_T800,31965,31928,30922,30835,30738,31878,30685,31864,31956,30807,31931,31889,31976,30896,30810,31026,30749,31853,30719,30846,31847,31975,30742,31871,31757,31871,31886,30785,31829,30868
TANEW_B,R_T1600,31087,31817,31181,31089,32139,32049,30860,31174,31933,32159,31818,32153,30827,31105,31191,31019,32078,32111,31120,31873,31069,32343,31081,31833,31095,31944,31849,32008,31066,32021
TANEW_B,TDM_S,75677,75017,75095,75187,74949,75263,74984,75233,75026,75309,75827,75062,75090,75075,74923,75072,76078,75103,75026,74983,75027,75154,75213,77530,74735,75272,75212,75005,75157,75384
TANEW_B,TDS_S,76841,77456,76847,76608,76705,78963,76746,76697,76753,76744,76684,76753,76714,76761,77465,76807,76587,76853,76865,76731,76745,76849,76757,76592,76845,76794,76742,76749,76803,76753
TANEW_B,TDS_P,6550,6565,6595,6656,6563,6583,6575,6573,6594,6649,6838,6601,6594,6633,6642,6631,6590,6572,6578,6586,6617,6608,6570,6583,6602,6566,6639,6557,6625,6581
TANEW_B,DD_S,48518,48794,48555,48718,48594,48612,48555,48681,48599,48672,48583,48615,48599,48599,48626,48564,48623,48680,48649,48677,48608,48576,48652,48646,48536,48671,48673,48743,48559,48537
TANEW_B,DD_P,5710,6023,6208,5705,5902,5572,5537,5895,5972,5505,5925,5769,5792,5751,5537,5676,5707,5711,5622,5609,5684,5784,6000,5592,5517,5725,6200,6025,5523,5486
BARYCZ_B,R_S,96176,95849,99824,95953,99337,95931,96100,95978,96269,99490,100734,95732,96186,99939,95905,95979,95871,95831,95955,96083,95865,96328,95973,99582,95998,95996,95916,99858,95474,95627
BARYCZ_B,R_T100,99572,99315,96231,96173,95825,96004,99896,95846,96205,96169,95720,99851,99608,96018,95905,96117,100082,96093,99668,95947,99731,96198,99770,99557,96095,95970,96071,99609,95777,95634
BARYCZ_B,R_T200,99629,100099,95918,100229,95823,100962,96088,95973,99647,99714,99922,99690,99694,95972,99928,96111,99475,95932,99693,95812,96115,99595,96337,100783,96129,99819,95752,99196,99126,99069
BARYCZ_B,R_T400,99823,99979,96106,99783,99788,96235,99681,96112,99861,100021,96080,96239,96276,99719,96224,95960,99924,99460,96002,96089,95845,99825,96024,96456,96378,99999,96217,95868,95887,95678
BARYCZ_B,R_T800,95948,99789,96388,99938,99872,100328,101194,99607,100028,100009,99779,99786,95982,99945,96221,96279,99811,95894,95961,96008,96222,96003,96220,96273,100105,99973,99628,96146,96391,96273
BARYCZ_B,R_T1600,99922,99932,96107,100148,96314,96321,96424,99878,96120,100011,96551,100009,100220,96163,96239,96294,96179,96346,96187,100190,100163,100229,96321,100037,100036,96463,100194,99889,99543,99204
BARYCZ_B,TDM_S,240688,241674,241134,240963,240481,241184,241123,241421,241545,241180,242094,240849,241117,240804,240638,241340,240972,241392,241131,241417,240678,240778,241491,252493,240992,241607,241212,241425,241371,241247
